,id,latitude,longitude,day_of_year,day_of_week,hour,month,pollution_value,temperature_2m_mean,wind_speed_10m_mean,wind_speed_100m_mean,wind_direction_10m_mean,wind_direction_100m_mean,precipitation_mean,relative_humidity_2m_mean,surface_pressure_mean,cloud_cover_mean,cloud_cover_low_mean,cloud_cover_mid_mean,cloud_cover_high_mean,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,month_sin,month_cos,is_weekend,is_night,season,cluster
0,0,51.491,-0.172,301,6,3,10,14.5,11.548161269758065,10.624688954381721,18.49600441619624,181.4187756155914,184.2745516826613,0.06155913978494623,87.53651200134408,1019.9713699731183,79.93951612903226,56.93817204301075,19.669354838709676,35.401881720430104,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.8919813464595487,0.45207220393230374,-0.8660254037844386,0.5000000000000001,1,1,3,4
1,1,39.386,-121.158,254,3,21,9,34.5,21.075524342741936,8.84159323797043,11.559698985295698,136.8763432298387,148.30009844166668,0.0009408602150537635,41.481347490591396,918.2254693817202,18.212365591397848,2.71505376344086,6.899193548387097,14.434139784946236,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-0.9427611433904206,-0.33346877891818705,-1.0,-1.8369701987210297e-16,0,0,3,1
2,2,51.459,0.596,301,6,3,10,10.5,11.771623818951612,11.062152361196235,18.936398525134408,192.89752289543011,194.19204143629034,0.05537634408602151,87.5909264045699,1016.2155485215053,79.08602150537635,54.689516129032256,19.118279569892472,34.229838709677416,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.8919813464595487,0.45207220393230374,-0.8660254037844386,0.5000000000000001,1,1,3,4
3,3,35.299,-120.613,145,2,14,5,15.5,14.318217446102151,6.354420563118278,8.916400723185482,215.45187284139786,218.00078768924732,0.00040322580645161296,79.67924724193549,988.1167081989247,48.375,43.471774193548384,0.16263440860215053,7.638440860215054,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.6016240632249226,-0.7987793728863649,0.49999999999999994,-0.8660254037844387,0,0,1,1
4,4,29.927,120.527,221,0,14,8,54.5,31.835946127688167,9.48035437047043,15.04838653423387,157.47979814784946,160.352088680914,0.17661290322580642,63.46646061424731,993.3682393682795,51.598118279569896,6.131720430107527,16.955645161290324,42.590053763440864,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,2
5,5,43.676,-1.059,285,3,11,10,15.0,16.46904870483871,9.477213381196236,17.270755927916667,187.48579829489248,195.83445760336022,0.25080645161290327,84.63317141263441,1013.3305825806452,70.61424731182795,21.963709677419356,42.68817204301075,49.104838709677416,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.9813064702716093,0.19245158197082995,-0.8660254037844386,0.5000000000000001,0,0,3,4
6,6,29.961,103.001,221,0,14,8,17.5,26.73029068951613,5.032849637567204,7.65293959,228.80082847903228,221.98392605779568,0.2349462365591398,82.20571253763441,939.0054287634408,61.98924731182796,9.48521505376344,31.877688172043012,52.240591397849464,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,2
7,7,26.177,119.988,53,3,3,2,16.5,11.712970430107529,26.17264032311828,31.03045883145161,92.27866983387096,89.4498805280914,0.10080645161290322,82.74325339516129,1021.7919354838709,62.880376344086024,49.55510752688172,36.63575268817204,14.48521505376344,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.7909456567567772,0.6118864012687243,0.8660254037844386,0.5000000000000001,0,1,0,2
8,8,46.382,-117.05,151,2,2,5,7.9,18.388846760215053,8.03300022997312,11.575862576438173,213.34576337405912,210.15283014717744,0.050806451612903224,49.35065462903226,987.1003596774194,49.799731182795696,4.838709677419355,27.29032258064516,36.854838709677416,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5160623910158528,-0.8565509959010036,0.49999999999999994,-0.8660254037844387,0,1,1,1
9,9,-23.717,27.582,150,1,0,5,29.291,17.79137661223118,9.655095638844086,15.743050601586022,126.58421751155915,116.09458588239248,0.00040322580645161296,42.627517322580644,921.5134440053763,4.852150537634409,0.3870967741935484,2.271505376344086,2.3763440860215055,0.0,1.0,0.7818314824680298,0.6234898018587336,0.5307300481619334,-0.8475409228928311,0.49999999999999994,-0.8660254037844387,0,1,1,5
10,10,35.094,137.049,267,0,10,9,10.5,25.66618317204301,9.519673097540322,13.985534801344087,187.68503193145162,192.3305430924731,0.1850806451612903,78.62294486290322,1008.3942167607527,64.42338709677419,16.053763440860216,26.591397849462364,49.776881720430104,0.49999999999999994,-0.8660254037844387,0.0,1.0,-0.9932568492674143,-0.11593459959550066,-1.0,-1.8369701987210297e-16,1,0,3,7
11,11,50.432,7.479,29,0,22,1,26.1230011,4.854682809,11.31663620577957,20.779850585080645,206.90332239112905,219.2440719938172,0.12809139784946233,84.94497721908603,1008.6635225806451,81.85618279569893,51.861559139784944,38.62903225806452,59.141129032258064,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.47873384011578846,0.8779600847008882,0.49999999999999994,0.8660254037844387,1,1,0,4
12,12,46.662,124.916,221,0,14,8,17.5,23.560472708333336,11.140081866491933,17.94143250793011,174.2559287326613,167.02786572916668,0.3009408602150538,79.51046544623657,988.0183466801075,66.625,24.647849462365592,23.897849462365592,52.83467741935484,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,7
13,13,-27.818,153.248,287,5,16,10,8.099999904632568,19.564161172043008,9.943110753897848,18.23454359435484,182.49776371505376,177.26866536288978,0.15604838709677418,76.26189441935485,1004.5265986827958,50.55779569892473,21.147849462365592,21.348118279569892,30.422043010752688,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.9741004551724206,0.22611568550828803,-0.8660254037844386,0.5000000000000001,0,0,3,8
14,14,35.617,139.694,267,0,10,9,7.5,25.187510951612904,18.456452823790325,24.065241631008067,169.3665390608199,160.99821205994624,0.1689516129032258,80.05321708064517,1010.8022773655914,68.06854838709677,31.202956989247312,27.649193548387096,50.196236559139784,0.49999999999999994,-0.8660254037844387,0.0,1.0,-0.9932568492674143,-0.11593459959550066,-1.0,-1.8369701987210297e-16,1,0,3,7
15,15,33.897,118.367,221,0,14,8,30.5,29.30141129032258,9.062134381290322,15.635563073521507,148.91441446774195,153.69994140188172,0.18911290322580643,81.94454345833334,1001.8716768682797,49.645161290322584,6.845430107526882,14.654569892473118,42.706989247311824,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,2
16,16,36.646,109.368,221,0,14,8,10.5,22.89102687903226,7.538481625188172,12.33972083231183,208.24494039059138,204.3129852145161,0.23508064516129032,69.4996780954301,881.535642392473,47.37231182795699,7.39247311827957,23.225806451612904,39.836021505376344,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,2
17,17,47.482,-120.518,151,2,2,5,6.3,13.694580709139785,8.231540133333334,13.546027024999999,279.3588581774194,285.0349963598118,0.024596774193548387,51.680719909946234,950.7367943548388,54.723118279569896,13.536290322580646,27.641129032258064,39.314516129032256,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.5160623910158528,-0.8565509959010036,0.49999999999999994,-0.8660254037844387,0,1,1,1
18,18,39.472,-87.412,150,1,10,5,23.4,20.515452112903226,11.14682798561828,19.364243684274193,203.4630721848118,201.01537682594085,0.1696236559139785,69.57063269354839,993.9060384408604,51.65725806451613,15.524193548387096,16.565860215053764,40.80241935483871,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.5307300481619334,-0.8475409228928311,0.49999999999999994,-0.8660254037844387,0,0,1,6
19,19,-25.815,29.508,144,2,16,5,16.78,14.238970235389784,9.171667763481182,14.850666581854837,170.7466479612903,194.4522408420699,0.003494623655913979,49.22819875,852.709685766129,5.981182795698925,1.5631720430107527,3.096774193548387,2.0739247311827955,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.6152845999633276,-0.7883050558305255,0.49999999999999994,-0.8660254037844387,0,0,1,5
20,20,39.977,-75.203,342,2,16,12,17.8,3.6726720268494626,11.884939223158604,22.40744265376344,228.56166711155916,233.91691096639784,0.13481182795698926,68.700803875,1014.9833359946238,55.024193548387096,23.963709677419356,32.58064516129032,35.98924731182796,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.38566340624360745,0.9226395488404875,-2.4492935982947064e-16,1.0,0,0,0,6
21,21,34.533,109.452,221,0,14,8,17.5,27.71366398387097,7.48182498655914,12.595311600094087,130.63034752258065,128.36523917002688,0.09516129032258064,72.52132529032258,964.9644544086021,52.32661290322581,4.345430107526882,15.125,48.053763440860216,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.6152845999633277,-0.7883050558305253,-0.8660254037844385,-0.5000000000000004,1,0,2,2
